Title;Price(Kč/1000g);Country;Variety;Altitude;Processing;Taste;BIO
KOLUMBIA EXCELSO NARINO - Micro Lot;675;Kolumbie;Bourbon;1750 - 1900m;Mokré;Čokoláda, cukrová třtina;Ne
KOSTARIKA SAN RAFAEL TARRAZU zrnková káva;734;Kostarika;Caturra;1600m;Mokré;Karamel;Ne
CASCARA KOSTARIKA;807;Kostarika;Caturra;1300-1800m;;;Ne
CASCARA PERU;675;Peru;Typica;1900m;;Čokoláda, ovoce;Ne
CASCARA Honduras;834;Honduras;;1100 - 1800m;;Citrusy, ostružiny, rybíz, skořice, bergamot;Ne
ČERVENÉ ČOKOLÁDOVÉ ČOČKY 47,3% - červená čokoláda;726;Ekvádor;;;;Mléčná čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY ARRIBA EKVÁDOR MLÉČNÁ 39%;820;Ekvádor;Arriba Forastero;;;Mléčná čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY GRAND CRU LOS BEJUCOS 46% DOMINICANA;787;Dominikánská rep.;;;;Karamel, ovoce;Ne
ČOKOLÁDOVÉ ČOČKY JAVA ORIGIN MLÉČNÁ 34%;864;Java/Indonésie;;;;Mléčná čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY GHANA ORIGIN MLÉČNÁ 42%;991;Ghana;;;;Mléčná čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY BRAZILIE ORIGIN 70%;903;Brazilie;;;;Hořká čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY GRAND CRU BAGUA NATIVO BIO PERU 81%;814;Peru;;;;Výrazná čokoláda, s dotekem koření;Ano
ČOKOLÁDOVÉ ČOČKY EKVÁDOR ORIGIN 76%;978;Ekvádor;;;;Hořká čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY TANZANIE ORIGIN 75%;971;Tanzanie;;;;Hořká čokoláda;Ne
JAVA JAMPIT zrnková káva;966;Java/Indonésie;Bourbon;1550m;Mokré;Čokoláda;Ne
ROBUSTA INDONESIE - zrnková káva;413;Java/Indonésie;;;;Ovoce;Ne
INDIE ROBUSTA PARCHMENT AB BIO - zrnková káva;530;Indie;Robusta;600 - 900m;Mokré;Čokoláda;Ano
INDIE ROBUSTA PARCHMENT AB;501;Indie;Robusta;600 - 900m;Mokré;Čokoláda;Ne
Zelená káva SUPER ŠTÍHLÁ LINIE - VANILKA - pouze mletá;896;;Mix;mix;Mokré;Vanilka;Ne
Zelená káva SUPER ŠTÍHLÁ LINIE - SKOŘICE - pouze mletá;896;;Mix;mix;Mokré;Skořice;Ne
Zelená káva SUPER ŠTÍHLÁ LINIE - ZÁZVOR - pouze mletá;896;;Mix;mix;Mokré;Zázvor;Ne
Zelená káva SUPER ŠTÍHLÁ LINIE KOKOS;844;;Mix;mix;Mokré;Kokos;Ne
Zelená káva SUPER ŠTÍHLÁ LINIE KARAMEL;844;;Mix;mix;Mokré;Karamel;Ne
KAKAOVÉ BOBY DRCENÉ;904;Ekvádor;;;;Ovoce, čokoláda;Ne
PERU CAMPO VERDE - kakaové boby nepražené;468;Peru;;;;Čokoláda, ovoce;Ne
VENEZUELA SUR DEL LAGO SUPERIOR - kakaové boby nepražené;468;Venezuela;Porcelana;;;ovoce, květiny, oříšky;Ne
EKVÁDOR UNOCADE BIO - kakaové boby nepražené;578;Ekvádor;Arriba Forastero;;;Čokoláda s ořechy;Ano
HORKÁ ČOKOLÁDA V PRÁŠKU 42% BIO - ZÁZVOR;538;Dominikánská rep.;;;;Čokoláda se zázvorem;Ano
HORKÁ ČOKOLÁDA V PRÁŠKU 42% BIO - CHILI;538;Dominikánská rep.;;;;Pikantní, sladká;Ano
ČOKOLÁDOVÉ ČOČKY PERU ORIGIN HOŘKÁ 70%;1102;Peru;;;;Hořká čokoláda;Ano
LÍSKOVÝ OŘÍŠEK zrnková káva;580;Peru;Typica;1900m;Mokré;Lískový oříšek;Ne
NUGÁTOVÁ zrnková káva;580;Peru;Typica;1900m;Mokré;Nugát;Ne
ČOKOLÁDOVO - MÁTOVÁ zrnková káva;580;Peru;Typica;1900m;Mokré;Čokoláda, máta;Ne
ČOKOLÁDOVO - POMERANČOVÁ zrnková káva;580;Peru;Typica;1900m;Mokré;Čokoláda a pomeranč;Ne
SKOŘICOVÁ zrnková káva;580;Peru;Typica;1900m;Mokré;Skořice;Ne
HONDURAS GEISHA SANTA BARBARA TRINIDAT - Micro Lot;1420;Honduras;Varietal Geisha;1350 - 1400m;Mokré;Citrus s nugátem;Ne
PERU SANTA  CRUZ HONEY - Micro Lot;1117;Peru;Caturra;1500m;Mokré;Čokoláda s ořechy;Ne
ZAMBIA AA zrnková káva;704;Zambie;Bourbon;1200 - 1400m;Mokré;Citrus, květiny;Ne
BRAZÍLIE FAZENDA PAREDAO - Micro Lot;588;Brazilie;Catuai;1100m;;Med, vanilka, ovoce;Ne
GALAPAGOS SC 18 SAN CRISTOBAL;2117;Ekvádor;Bourbon;1350-2700m;Mokré;Karamel a lemon;Ne
NEPAL MOUNT EVEREST SUPREME- zrnková káva;1778;Nepál;Caturra;700m;;Karamel, kakao, mandle;Ne
PAPUA NOVA GUINEA zrnková káva;812;Papua Nova Guinea;Bourbon;1800m;Mokré;Ovoce, koření;Ne
Zelená káva SUPER ŠTÍHLÁ LINIE;759;;Mix;mix;Mokré;Zelený čaj;Ne
SALVADOR SHG RED BOURBON FINCA SANTA ADELAIDA - Micro Lot;1001;El Salvador;Bourbon;1200m;Mokré;Kakao, marcipán, hrozny;Ne
KOSTARIKA FINCA EL ROSARI - Micro Lot;1289;Kostarika;Caturra;1600;Suché;Mléčná čokoláda;Ne
NOC PAŘÍŽE rozpustná káva;642;Mexiko;;1350m;Vymrazování;Francouzský likér;Ne
