ID;Binary-Euclid-Precision;Binary-Euclid-Recall;Binary-Euclid-F-measure;Binary-Cosine-Precision;Binary-Cosine-Recall;Binary-Cosine-F-measure;TF-Euclid-Precision;TF-Euclid-Recall;TF-Euclid-F-measure;TF-Cosine-Precision;TF-Cosine-Recall;TF-Cosine-F-measure;TF-IDF-Cosine-Precision;TF-IDF-Euclid-Recall;TF-IDF-Euclid-F-measure;TF-IDF-Cosine-Precision;TF-IDF-Cosine-Recall;TF-IDF-Cosine-F-measure
1;0,1;0,034482758620689655;0,05128205128205129;0,3;0,10344827586206896;0,15384615384615385;0,2;0,06896551724137931;0,10256410256410257;0,5;0,1724137931034483;0,25641025641025644;0,5;0,1724137931034483;0,25641025641025644;0,5;0,1724137931034483;0,25641025641025644
2;0,0;0,0;0;0,1;0,04;0,05714285714285714;0,3;0,12;0,17142857142857143;0,2;0,08;0,11428571428571428;0,4;0,16;0,22857142857142856;0,4;0,16;0,22857142857142856
3;0,1;0,1111111111111111;0,10526315789473685;0,4;0,4444444444444444;0,4210526315789474;0,2;0,2222222222222222;0,2105263157894737;0,4;0,4444444444444444;0,4210526315789474;0,6;0,6666666666666666;0,631578947368421;0,7;0,7777777777777778;0,7368421052631577
4;0,0;0,0;0;0,1;0,3333333333333333;0,15384615384615383;0,0;0,0;0;0,1;0,3333333333333333;0,15384615384615383;0,2;0,6666666666666666;0,30769230769230765;0,2;0,6666666666666666;0,30769230769230765
5;0,0;0,0;0;0,2;0,4;0,26666666666666666;0,0;0,0;0;0,0;0,0;0;0,2;0,4;0,26666666666666666;0,2;0,4;0,26666666666666666
6;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0
7;0,1;0,16666666666666666;0,125;0,1;0,16666666666666666;0,125;0,2;0,3333333333333333;0,25;0,2;0,3333333333333333;0,25;0,2;0,3333333333333333;0,25;0,2;0,3333333333333333;0,25
8;0,1;0,08333333333333333;0,0909090909090909;0,3;0,25;0,2727272727272727;0,2;0,16666666666666666;0,1818181818181818;0,3;0,25;0,2727272727272727;0,2;0,16666666666666666;0,1818181818181818;0,2;0,16666666666666666;0,1818181818181818
9;0,0;0,0;0;0,3;0,75;0,4285714285714285;0,3;0,75;0,4285714285714285;0,3;0,75;0,4285714285714285;0,3;0,75;0,4285714285714285;0,3;0,75;0,4285714285714285
10;0,1;0,1111111111111111;0,10526315789473685;0,3;0,3333333333333333;0,3157894736842105;0,1;0,1111111111111111;0,10526315789473685;0,2;0,2222222222222222;0,2105263157894737;0,2;0,2222222222222222;0,2105263157894737;0,2;0,2222222222222222;0,2105263157894737
11;0,0;0,0;0;0,0;0,0;0;0,2;0,25;0,22222222222222224;0,2;0,25;0,22222222222222224;0,1;0,125;0,11111111111111112;0,2;0,25;0,22222222222222224
12;0,0;0,0;0;0,2;0,3333333333333333;0,25;0,0;0,0;0;0,0;0,0;0;0,2;0,3333333333333333;0,25;0,2;0,3333333333333333;0,25
13;0,0;0,0;0;0,1;0,2;0,13333333333333333;0,0;0,0;0;0,0;0,0;0;0,1;0,2;0,13333333333333333;0,1;0,2;0,13333333333333333
14;0,0;0,0;0;0,1;0,3333333333333333;0,15384615384615383;0,1;0,3333333333333333;0,15384615384615383;0,1;0,3333333333333333;0,15384615384615383;0,1;0,3333333333333333;0,15384615384615383;0,1;0,3333333333333333;0,15384615384615383
