ID;Binary-Euclid-Precision;Binary-Euclid-Recall;Binary-Euclid-F-measure;Binary-Cosine-Precision;Binary-Cosine-Recall;Binary-Cosine-F-measure;TF-Euclid-Precision;TF-Euclid-Recall;TF-Euclid-F-measure;TF-Cosine-Precision;TF-Cosine-Recall;TF-Cosine-F-measure;TF-IDF-Cosine-Precision;TF-IDF-Euclid-Recall;TF-IDF-Euclid-F-measure;TF-IDF-Cosine-Precision_1;TF-IDF-Cosine-Recall;TF-IDF-Cosine-F-measure
215;0;0;0;0.1;0.333333333;0.153846154;0;0;0;0;0;0;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154
216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
217;0;0;0;0.1;0.0625;0.076923077;0;0;0;0;0;0;0;0;0;0;0;0
218;0;0;0;0;0;0;0;0;0;0.1;0.0625;0.076923077;0.3;0.1875;0.230769231;0.4;0.25;0.307692308
219;0;0;0;0;0;0;0.2;0.105263158;0.137931034;0.2;0.105263158;0.137931034;0.1;0.052631579;0.068965517;0.1;0.052631579;0.068965517
220;0;0;0;0;0;0;0;0;0;0.1;0.05;0.066666667;0;0;0;0.1;0.05;0.066666667
221;0;0;0;0;0;0;0.1;0.052631579;0.068965517;0.1;0.052631579;0.068965517;0.2;0.105263158;0.137931034;0.2;0.105263158;0.137931034
222;0;0;0;0.2;0.2;0.2;0.3;0.3;0.3;0.3;0.3;0.3;0.2;0.2;0.2;0.3;0.3;0.3
223;0;0;0;0.1;0.2;0.133333333;0.2;0.4;0.266666667;0.1;0.2;0.133333333;0.2;0.4;0.266666667;0.2;0.4;0.266666667
224;0.1;0.111111111;0.105263158;0.3;0.333333333;0.315789474;0.4;0.444444444;0.421052632;0.3;0.333333333;0.315789474;0.3;0.333333333;0.315789474;0.4;0.444444444;0.421052632
225;0;0;0;0.3;0.12;0.171428571;0.2;0.08;0.114285714;0.2;0.08;0.114285714;0.3;0.12;0.171428571;0.3;0.12;0.171428571
Avg.;0.015111111;0.021537736;0.016781907;0.148888889;0.221401824;0.164978642;0.107111111;0.142340416;0.113896056;0.128888889;0.177883543;0.139382381;0.22;0.323419504;0.24269823;0.240444444;0.3465166;0.263204719
