ID;Binary-Euclid-Precision;Binary-Euclid-Recall;Binary-Euclid-F-measure;Binary-Cosine-Precision;Binary-Cosine-Recall;Binary-Cosine-F-measure;TF-Euclid-Precision;TF-Euclid-Recall;TF-Euclid-F-measure;TF-Cosine-Precision;TF-Cosine-Recall;TF-Cosine-F-measure;TF-IDF-Cosine-Precision;TF-IDF-Euclid-Recall;TF-IDF-Euclid-F-measure;TF-IDF-Cosine-Precision_1;TF-IDF-Cosine-Recall;TF-IDF-Cosine-F-measure
86;0;0;0;0.2;0.666666667;0.307692308;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154
87;0;0;0;0.1;0.111111111;0.105263158;0;0;0;0;0;0;0;0;0;0;0;0
88;0;0;0;0.6;0.857142857;0.705882353;0.5;0.714285714;0.588235294;0.5;0.714285714;0.588235294;0.6;0.857142857;0.705882353;0.7;1;0.823529412
89;0;0;0;0.3;0.428571429;0.352941176;0.3;0.428571429;0.352941176;0.3;0.428571429;0.352941176;0.3;0.428571429;0.352941176;0.4;0.571428571;0.470588235
90;0;0;0;0.2;0.142857143;0.166666667;0.2;0.142857143;0.166666667;0.2;0.142857143;0.166666667;0.3;0.214285714;0.25;0.4;0.285714286;0.333333333
91;0;0;0;0.3;0.3;0.3;0.2;0.2;0.2;0.3;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2
92;0;0;0;0.2;0.142857143;0.166666667;0;0;0;0;0;0;0.6;0.428571429;0.5;0.6;0.428571429;0.5
93;0;0;0;0.1;0.5;0.166666667;0.1;0.5;0.166666667;0.1;0.5;0.166666667;0.2;1;0.333333333;0.2;1;0.333333333
94;0;0;0;0.2;0.153846154;0.173913043;0.4;0.307692308;0.347826087;0.3;0.230769231;0.260869565;0.5;0.384615385;0.434782609;0.5;0.384615385;0.434782609
95;0;0;0;0.2;0.666666667;0.307692308;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0.3;1;0.461538462;0.3;1;0.461538462
96;0;0;0;0.2;0.142857143;0.166666667;0.1;0.071428571;0.083333333;0.1;0.071428571;0.083333333;0.4;0.285714286;0.333333333;0.4;0.285714286;0.333333333
97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;0;0;0;0.1;0.166666667;0.125;0;0;0;0;0;0;0.1;0.166666667;0.125;0.1;0.166666667;0.125
99;0;0;0;0.1;0.2;0.133333333;0;0;0;0;0;0;0.1;0.2;0.133333333;0.1;0.2;0.133333333
100;0;0;0;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.5
101;0;0;0;0.1;0.142857143;0.117647059;0.3;0.428571429;0.352941176;0.2;0.285714286;0.235294118;0.4;0.571428571;0.470588235;0.4;0.571428571;0.470588235
102;0.1;0.2;0.133333333;0.1;0.2;0.133333333;0;0;0;0.1;0.2;0.133333333;0.2;0.4;0.266666667;0.2;0.4;0.266666667
103;0;0;0;0.1;0.333333333;0.153846154;0;0;0;0;0;0;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154
104;0;0;0;0.2;0.333333333;0.25;0;0;0;0.1;0.166666667;0.125;0.1;0.166666667;0.125;0.1;0.166666667;0.125
105;0;0;0;0.3;0.5;0.375;0;0;0;0.1;0.166666667;0.125;0.4;0.666666667;0.5;0.4;0.666666667;0.5
106;0;0;0;0.1;0.166666667;0.125;0.1;0.166666667;0.125;0.1;0.166666667;0.125;0.2;0.333333333;0.25;0.3;0.5;0.375
107;0;0;0;0.1;0.125;0.111111111;0;0;0;0;0;0;0.3;0.375;0.333333333;0.3;0.375;0.333333333
108;0;0;0;0.1;0.125;0.111111111;0.2;0.25;0.222222222;0.2;0.25;0.222222222;0.4;0.5;0.444444444;0.4;0.5;0.444444444
109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;0.1;0.2;0.133333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;0;0;0;0;0;0;0.3;0.375;0.333333333;0.4;0.5;0.444444444;0.3;0.375;0.333333333;0.4;0.5;0.444444444
112;0;0;0;0.1;0.333333333;0.153846154;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308
113;0;0;0;0.2;0.4;0.266666667;0;0;0;0;0;0;0.1;0.2;0.133333333;0.1;0.2;0.133333333
114;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.2;0.133333333;0.1;0.2;0.133333333
115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.166666667;0.125;0.1;0.166666667;0.125
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;0;0;0;0.1;0.25;0.142857143;0.1;0.25;0.142857143;0.1;0.25;0.142857143;0;0;0;0.1;0.25;0.142857143
119;0;0;0;0.2;1;0.333333333;0;0;0;0.1;0.5;0.166666667;0.1;0.5;0.166666667;0.1;0.5;0.166666667
120;0.1;0.1;0.1;0.6;0.6;0.6;0.2;0.2;0.2;0.1;0.1;0.1;0.5;0.5;0.5;0.6;0.6;0.6
121;0.1;0.125;0.111111111;0.5;0.625;0.555555556;0.1;0.125;0.111111111;0.3;0.375;0.333333333;0.4;0.5;0.444444444;0.5;0.625;0.555555556
122;0.1;0.1;0.1;0.1;0.1;0.1;0;0;0;0.1;0.1;0.1;0.2;0.2;0.2;0.2;0.2;0.2
123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;0;0;0;0.1;0.2;0.133333333;0;0;0;0;0;0;0.1;0.2;0.133333333;0.1;0.2;0.133333333
125;0.1;0.055555556;0.071428571;0.2;0.111111111;0.142857143;0.2;0.111111111;0.142857143;0.2;0.111111111;0.142857143;0.3;0.166666667;0.214285714;0.3;0.166666667;0.214285714
126;0;0;0;0.2;0.222222222;0.210526316;0.1;0.111111111;0.105263158;0.2;0.222222222;0.210526316;0.2;0.222222222;0.210526316;0.2;0.222222222;0.210526316
127;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.166666667;0.125;0.1;0.166666667;0.125
128;0;0;0;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154
129;0;0;0;0.2;0.25;0.222222222;0.1;0.125;0.111111111;0.2;0.25;0.222222222;0.5;0.625;0.555555556;0.5;0.625;0.555555556
130;0;0;0;0.2;0.333333333;0.25;0.1;0.166666667;0.125;0;0;0;0.3;0.5;0.375;0.3;0.5;0.375
131;0;0;0;0.2;0.222222222;0.210526316;0;0;0;0.1;0.111111111;0.105263158;0.3;0.333333333;0.315789474;0.3;0.333333333;0.315789474
132;0;0;0;0.4;0.25;0.307692308;0.6;0.375;0.461538462;0.6;0.375;0.461538462;0.6;0.375;0.461538462;0.7;0.4375;0.538461538
133;0;0;0;0.2;0.25;0.222222222;0.2;0.25;0.222222222;0.2;0.25;0.222222222;0;0;0;0;0;0
134;0;0;0;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308
135;0;0;0;0.3;0.333333333;0.315789474;0.2;0.222222222;0.210526316;0.2;0.222222222;0.210526316;0.4;0.444444444;0.421052632;0.4;0.444444444;0.421052632
136;0;0;0;0.1;0.25;0.142857143;0;0;0;0;0;0;0.2;0.5;0.285714286;0.2;0.5;0.285714286
137;0;0;0;0.2;0.4;0.266666667;0;0;0;0.3;0.6;0.4;0.2;0.4;0.266666667;0.4;0.8;0.533333333
138;0;0;0;0.1;0.333333333;0.153846154;0;0;0;0;0;0;0;0;0;0;0;0
139;0;0;0;0.1;0.2;0.133333333;0;0;0;0;0;0;0;0;0;0;0;0
140;0;0;0;0.2;0.285714286;0.235294118;0.1;0.142857143;0.117647059;0.1;0.142857143;0.117647059;0.2;0.285714286;0.235294118;0.2;0.285714286;0.235294118
141;0;0;0;0;0;0;0;0;0;0.1;0.142857143;0.117647059;0.1;0.142857143;0.117647059;0.1;0.142857143;0.117647059
142;0;0;0;0.1;0.5;0.166666667;0;0;0;0.1;0.5;0.166666667;0.1;0.5;0.166666667;0.1;0.5;0.166666667
143;0;0;0;0;0;0;0.1;0.333333333;0.153846154;0;0;0;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308
144;0.1;0.142857143;0.117647059;0.4;0.571428571;0.470588235;0.1;0.142857143;0.117647059;0.3;0.428571429;0.352941176;0.6;0.857142857;0.705882353;0.6;0.857142857;0.705882353
145;0.1;0.125;0.111111111;0.3;0.375;0.333333333;0.1;0.125;0.111111111;0.2;0.25;0.222222222;0.4;0.5;0.444444444;0.4;0.5;0.444444444
146;0.1;0.333333333;0.153846154;0.1;0.333333333;0.153846154;0;0;0;0.1;0.333333333;0.153846154;0.3;1;0.461538462;0.3;1;0.461538462
147;0;0;0;0.2;0.181818182;0.19047619;0.1;0.090909091;0.095238095;0.1;0.090909091;0.095238095;0.3;0.272727273;0.285714286;0.4;0.363636364;0.380952381
148;0.1;0.142857143;0.117647059;0.2;0.285714286;0.235294118;0.2;0.285714286;0.235294118;0.2;0.285714286;0.235294118;0.2;0.285714286;0.235294118;0.3;0.428571429;0.352941176
149;0;0;0;0;0;0;0.1;0.083333333;0.090909091;0.1;0.083333333;0.090909091;0.3;0.25;0.272727273;0.3;0.25;0.272727273
150;0;0;0;0.3;1;0.461538462;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308;0.3;1;0.461538462;0.3;1;0.461538462
151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;0;0;0;0.2;0.285714286;0.235294118;0;0;0;0;0;0;0.1;0.142857143;0.117647059;0.1;0.142857143;0.117647059
153;0;0;0;0.3;0.375;0.333333333;0.1;0.125;0.111111111;0.2;0.25;0.222222222;0.4;0.5;0.444444444;0.4;0.5;0.444444444
154;0;0;0;0.1;0.333333333;0.153846154;0;0;0;0;0;0;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308
155;0;0;0;0.1;0.142857143;0.117647059;0.1;0.142857143;0.117647059;0.2;0.285714286;0.235294118;0.3;0.428571429;0.352941176;0.3;0.428571429;0.352941176
156;0;0;0;0;0;0;0;0;0;0.1;0.066666667;0.08;0.1;0.066666667;0.08;0.1;0.066666667;0.08
157;0;0;0;0.6;0.15;0.24;0.1;0.025;0.04;0.1;0.025;0.04;0.4;0.1;0.16;0.6;0.15;0.24
158;0;0;0;0.2;0.222222222;0.210526316;0.2;0.222222222;0.210526316;0.2;0.222222222;0.210526316;0.2;0.222222222;0.210526316;0.2;0.222222222;0.210526316
159;0;0;0;0.1;0.111111111;0.105263158;0;0;0;0;0;0;0.2;0.222222222;0.210526316;0.2;0.222222222;0.210526316
160;0;0;0;0.1;0.166666667;0.125;0;0;0;0.1;0.166666667;0.125;0.1;0.166666667;0.125;0.1;0.166666667;0.125
161;0;0;0;0.2;0.285714286;0.235294118;0.1;0.142857143;0.117647059;0.2;0.285714286;0.235294118;0.1;0.142857143;0.117647059;0.2;0.285714286;0.235294118
162;0;0;0;0.2;0.222222222;0.210526316;0;0;0;0.1;0.111111111;0.105263158;0.1;0.111111111;0.105263158;0.1;0.111111111;0.105263158
